商家名,商圈,类型,评分,城市,人均价格
余爱鱼纸烤全鱼,同曦/瑞都商业圈,烤鱼,9.166666666666666,南京,68
大蓉和,建邺万达,川菜馆,8.533333333333333,南京,172
壹镹驷叄·1943·精酿啤酒音乐餐吧,夫子庙地区,川菜馆,8.833333333333334,南京,99
佳佳酸菜鱼,东山镇,酸菜鱼/水煮鱼,7.966666666666668,南京,63
胡大酸菜鱼,胜太路,酸菜鱼/水煮鱼,7.433333333333334,南京,59
老宅院,湖南路,川菜馆,7.466666666666666,南京,53
老川浦大酒店,浦口区,川菜馆,8.1,南京,60
蜀膳坊,新街口地区,川菜馆,7.666666666666667,南京,77
龙梅肥肠鱼,新街口地区,酸菜鱼/水煮鱼,7.433333333333334,南京,62
二娃小馆,火车站/玄武湖,酸菜鱼/水煮鱼,7.633333333333333,南京,56
王子牛蛙,新街口地区,干锅/香锅,8.466666666666667,南京,77
百岁我家酸菜鱼,新街口地区,酸菜鱼/水煮鱼,8.799999999999999,南京,69
渔沪,新街口地区,烤鱼,8.9,南京,71
谢小胖手工酸菜鱼,南京南站/明发,酸菜鱼/水煮鱼,8.933333333333334,南京,73
强记能喝汤的酸菜鱼,托乐嘉,酸菜鱼/水煮鱼,8.766666666666667,南京,78
川之杰豆花鱼府,迈皋桥/和燕路,川菜馆,8.566666666666665,南京,77
鸿鑫酸菜鱼馆,花生唐/板桥,酸菜鱼/水煮鱼,7.166666666666667,南京,73
川友小酒馆,秦虹村/中华门,川菜馆,8.5,南京,87
川之杰山城人豆花鱼,尧化门,川菜馆,8.566666666666666,南京,78
渔家傲·烤全鱼,清江苏宁广场,烤鱼,9.0,南京,60
金良酸菜鱼,南大/南师大,酸菜鱼/水煮鱼,7.266666666666666,南京,48
火辣飞扬烤鱼 ,新街口地区,烤鱼,8.8,南京,73
川嫂鲜活鱼馆,胜太路,川菜馆,7.766666666666667,南京,58
勿忘我菜馆,夫子庙/水游城,川菜馆,8.233333333333334,南京,58
合興發茶冰室,新街口地区,茶餐厅,8.6,南京,82
香港名發茶冰廳,新街口地区,茶餐厅,8.5,南京,85
点都德,新街口地区,粤式茶点,8.933333333333334,南京,104
澳门陈光记烧味饭店,珠江路沿线,茶餐厅,8.833333333333334,南京,78
老正冰室,夫子庙地区,茶餐厅,8.3,南京,44
港丽餐厅,应天大街/文体路,茶餐厅,8.766666666666667,南京,137
OK喔澳門冰室,珠江路沿线,茶餐厅,8.233333333333333,南京,50
德香茶楼,新街口地区,粤菜馆,8.633333333333333,南京,110
大鴿厅•广東菜馆,奥体中心,粤菜馆,8.700000000000001,南京,120
啫一·古法粤菜,应天大街/文体路,广州菜,8.333333333333334,南京,112
喜粤8号,新街口地区,粤式茶点,8.833333333333334,南京,75
禄興記香港大排档,江宁科学园,茶餐厅,8.133333333333335,南京,90
鸽味轩,新街口地区,粤菜馆,9.1,南京,88
尚一汤 广东炖汤,百家湖,粤菜馆,9.166666666666666,南京,160
翠园,新街口地区,粤菜馆,8.9,南京,297
寶仔記,新街口地区,茶餐厅,8.9,南京,58
芳村榕樹頭·廣州排檔,奥体中心,广州菜,8.266666666666667,南京,136
澳门轩,湖南路,茶餐厅,8.133333333333335,南京,48
翠华餐厅,新街口地区,茶餐厅,8.200000000000001,南京,91
柒小粤,新街口地区,粤式茶点,8.433333333333332,南京,63
潮粥馆,珠江路沿线,潮汕菜,8.266666666666667,南京,92
新旺茶餐厅,百家湖,茶餐厅,8.366666666666665,南京,96
海明粤色,新街口地区,粤式茶点,8.799999999999999,南京,126
恒信牛奶甜品专家,珠江路沿线,茶餐厅,8.933333333333332,南京,24
焗正·啫煲世家,山西路/湖南路,粤菜馆,8.1,南京,96
鸡包渔·粤式早茶,升州路/集庆路,茶餐厅,8.166666666666666,南京,76
狮子桥食府,湖南路,粤菜馆,8.666666666666666,南京,117
荣记·潮汕风味,夫子庙地区,潮汕菜,8.200000000000001,南京,60
鴻運掌柜·廣州雞煲,建邺万达,广州菜,9.133333333333333,南京,92
香港年兴发冰厅,珠江路沿线,粤式茶点,8.833333333333334,南京,72
渔生档,湖南路,粤菜馆,8.266666666666667,南京,123
妙龄乳鸽,升州路/集庆路,粤菜馆,8.633333333333335,南京,115
五啫土鸡,建邺万达,广州菜,8.3,南京,44
星港街茶餐厅,建邺万达,茶餐厅,8.466666666666667,南京,67
笋嘢虾饺,夫子庙地区,粤式茶点,8.466666666666667,南京,33
绿地洲际酒店·粤翠轩,南大/南师大,粤菜馆,8.733333333333333,南京,184
吉事利茶餐厅,火车站/玄武湖,茶餐厅,8.4,南京,88
官也轩,奥体中心,粤菜馆,9.066666666666666,南京,413
避风塘,虹悦城,茶餐厅,8.433333333333334,南京,88
穎粤 IN CANTON,南京艺术学院/龙江,广州菜,7.866666666666667,南京,120
云中小雅,新街口地区,粤菜馆,7.7,南京,137
隆盛粥點·粤菜馆,百家湖,茶餐厅,8.433333333333334,南京,83
南京丰盛五季凯悦臻选酒店玉阁·中餐厅,安德门/小行,顺德菜,8.0,南京,0
食佐未茶餐厅,砂之船奥莱,茶餐厅,8.433333333333332,南京,83
荣笙记,常府街/长白街,粤菜馆,7.433333333333334,南京,38
吴叔烧腊,进香河/老虎桥,烧腊,8.566666666666668,南京,23
旺角茶餐室,大学城,茶餐厅,8.466666666666667,南京,30
来嘚儿煲仔·糖水靓汤,夫子庙地区,茶餐厅,7.533333333333334,南京,0
翠香阁潮州菜馆,南大/南师大,潮汕菜,7.2,南京,112
