商家名,商圈,类型,评分,城市,人均价格
丽思卡尔顿·景轩·中餐厅,科技路沿线,粤菜馆,8.733333333333333,西安,595
腾记粤菜小厨,丈八,粤菜馆,8.266666666666666,西安,85
铂菲朗酒店夜茶餐厅,明光路,茶餐厅,8.0,西安,157
洋葱港式茶餐厅,金花路沿线,茶餐厅,7.133333333333333,西安,57
砂尊食补堂,文景路,粤菜馆,8.066666666666668,西安,147
画臻楼融合餐厅,丈八,粤菜馆,8.033333333333333,西安,129
5号码头·后海餐厅,浐灞生态区,粤菜馆,7.466666666666668,西安,118
壹号炳记,李家村,广州菜,8.0,西安,23
小白鲨工夫潮膳,曲江新区,潮汕菜,7.933333333333334,西安,371
新粤餐厅,辛家庙,粤菜馆,8.366666666666667,西安,71
唐潮记潮汕砂锅粥,高新路沿线,粤菜馆,8.866666666666667,西安,72
御宴宫,曲江新区,粤菜馆,7.833333333333333,西安,269
君悦酒道馆,小雁塔/南稍门,潮汕菜,8.299999999999999,西安,97
阿榕小厨,丈八,粤菜馆,7.566666666666666,西安,189
潮味·潮粤菜,和平门/建国门,潮汕菜,8.033333333333333,西安,68
长安木棉粤味居,曲江新区,广州菜,7.866666666666667,西安,217
粤食客·鲍鱼饭,小寨,燕翅鲍,7.8,西安,31
唐乐宫,太华路沿线,粤菜馆,8.766666666666666,西安,90
潮汕铺道旭二十年老店,甜水井,潮汕菜,7.733333333333334,西安,81
顺峰,唐延路沿线,粤菜馆,8.4,西安,219
昌记深圳鸡煲,高新路沿线,粤菜馆,7.666666666666667,西安,57
素心七碗茶,丈八,茶餐厅,7.3999999999999995,西安,59
唐厨,曲江新区,粤菜馆,8.433333333333334,西安,290
花城记潮汕砂锅粥,钟楼/鼓楼,粤菜馆,8.033333333333333,西安,56
谢老逗功夫汤,高新路沿线,广州菜,7.933333333333334,西安,108
香格里拉大酒店·天香阁,科技路沿线,粤菜馆,8.4,西安,271
禾•精致餐厅,科技路沿线,粤菜馆,8.633333333333335,西安,159
成记港式烧腊,浐灞生态区,烧腊,7.466666666666666,西安,30
潮苑私厨 ·潮汕砂锅粥,高新路沿线,潮汕菜,8.566666666666668,西安,112
小萌笼,浐灞生态区,茶餐厅,7.766666666666667,西安,57
德叔茶餐厅,电视台/会展中心,茶餐厅,8.0,西安,37
晨曦炖品鲍鱼饭,未央路沿线,粤菜馆,7.266666666666667,西安,54
故香故事菜·广东早晚茶,曲江新区,茶餐厅,7.233333333333333,西安,56
新元海鲜粥城,西稍门,顺德菜,8.166666666666666,西安,73
秦香府酒楼,丈八,粤菜馆,7.833333333333333,西安,98
粤吃粤香,桥梓口,茶餐厅,7.8999999999999995,西安,36
久壹六肠粉,交大东校区/理工大,粤菜馆,8.133333333333333,西安,24
粤味轩,交大东校区/理工大,粤菜馆,7.466666666666666,西安,109
凤城十三卤潮汕卤味研究室,太华路沿线,潮汕菜,7.866666666666667,西安,44
孔柒捌茶餐厅,未央路沿线,茶餐厅,7.400000000000001,西安,54
叻哥士多香港小食,未央路沿线,茶餐厅,8.0,西安,31
Rose·音乐餐厅,未央路沿线,粤菜馆,8.100000000000001,西安,141
秦苑,曲江新区,粤菜馆,7.8,西安,330
粤味坊海鲜,文艺路,粤菜馆,8.1,西安,100
豪粥荟·海鲜砂锅粥,郭杜,茶餐厅,8.133333333333333,西安,45
大益膳房,纺织城,粤菜馆,7.3999999999999995,西安,139
粤海客家小厨,未央路沿线,客家菜,7.266666666666667,西安,71
西安高新希尔顿酒店•伯爵之家中餐厅,丈八,粤菜馆,8.366666666666665,西安,202
诺世嘉顿酒店·中餐厅,未央路沿线,广州菜,8.2,西安,142
狮城煲仔屋,省体育场,粤菜馆,8.266666666666666,西安,32
潮汕潮上牛腩汤粉面,丈八,潮汕菜,7.833333333333333,西安,29
酣居·潮汕私房菜,丈八,潮汕菜,7.800000000000001,西安,294
唐城小院粤菜馆,吉祥村,广州菜,7.7,西安,100
广东粤秀餐馆,未央路沿线,粤菜馆,7.400000000000001,西安,53
潮汕大排档,桃园路,潮汕菜,7.566666666666666,西安,70
罗曼宴会中心,浐灞生态区,粤菜馆,7.900000000000001,西安,89
張記珍味轩,新城区,粤菜馆,8.133333333333333,西安,97
小皇后酒楼,金花路沿线,粤菜馆,6.933333333333334,西安,62
侯大厨鸽子馆,未央路沿线,湘菜,8.700000000000001,西安,69
望月太公西安砂锅菜,长乐坊,湘菜,8.866666666666667,西安,50
兰湘子•湘菜小炒,雁翔路,湘菜,8.333333333333334,西安,58
菜很下饭辣椒炒肉,未央路沿线,湘菜,7.833333333333333,西安,49
兰湘子.湘菜小炒,小雁塔,湘菜,8.733333333333333,西安,53
俯仰堂甲鱼,唐延路沿线,湘菜,9.166666666666666,西安,106
侯志伟老街炒鸡,南院门,湘菜,8.766666666666667,西安,69
新湘悦餐厅,金花路沿线,湘菜,9.033333333333333,西安,66
